index,Key,Name,DateTime,Record,Status,Lat,Lon,Wind,Pressure,NE34,SE34,SW34,NW34,NE50,SE50,SW50,NW50,NE64,SE64,SW64,NW64
0,AL011851,UNNAMED,1851-06-25T00:00:00Z,,HU,28.0,-94.8,80.0,,,,,,,,,,,,,
1,AL011851,UNNAMED,1851-06-25T06:00:00Z,,HU,28.0,-95.4,80.0,,,,,,,,,,,,,
2,AL011851,UNNAMED,1851-06-25T12:00:00Z,,HU,28.0,-96.0,80.0,,,,,,,,,,,,,
3,AL011851,UNNAMED,1851-06-25T18:00:00Z,,HU,28.1,-96.5,80.0,,,,,,,,,,,,,
4,AL011851,UNNAMED,1851-06-25T21:00:00Z,L,HU,28.2,-96.8,80.0,,,,,,,,,,,,,
5,AL011851,UNNAMED,1851-06-26T00:00:00Z,,HU,28.2,-97.0,70.0,,,,,,,,,,,,,
6,AL011851,UNNAMED,1851-06-26T06:00:00Z,,TS,28.3,-97.6,60.0,,,,,,,,,,,,,
7,AL011851,UNNAMED,1851-06-26T12:00:00Z,,TS,28.4,-98.3,60.0,,,,,,,,,,,,,
8,AL011851,UNNAMED,1851-06-26T18:00:00Z,,TS,28.6,-98.9,50.0,,,,,,,,,,,,,
9,AL011851,UNNAMED,1851-06-27T00:00:00Z,,TS,29.0,-99.4,50.0,,,,,,,,,,,,,
10,AL011851,UNNAMED,1851-06-27T06:00:00Z,,TS,29.5,-99.8,40.0,,,,,,,,,,,,,
11,AL011851,UNNAMED,1851-06-27T12:00:00Z,,TS,30.0,-100.0,40.0,,,,,,,,,,,,,
12,AL011851,UNNAMED,1851-06-27T18:00:00Z,,TS,30.5,-100.1,40.0,,,,,,,,,,,,,
13,AL011851,UNNAMED,1851-06-28T00:00:00Z,,TS,31.0,-100.2,40.0,,,,,,,,,,,,,
14,AL021851,UNNAMED,1851-07-05T12:00:00Z,,HU,22.2,-97.6,80.0,,,,,,,,,,,,,
15,AL031851,UNNAMED,1851-07-10T12:00:00Z,,TS,12.0,-60.0,50.0,,,,,,,,,,,,,
16,AL041851,UNNAMED,1851-08-16T00:00:00Z,,TS,13.4,-48.0,40.0,,,,,,,,,,,,,
17,AL041851,UNNAMED,1851-08-16T06:00:00Z,,TS,13.7,-49.5,40.0,,,,,,,,,,,,,
18,AL041851,UNNAMED,1851-08-16T12:00:00Z,,TS,14.0,-51.0,50.0,,,,,,,,,,,,,
19,AL041851,UNNAMED,1851-08-16T18:00:00Z,,TS,14.4,-52.8,50.0,,,,,,,,,,,,,
